2025-03-01 21:37:28.4143 | Info | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'EmployeeManagement.Controllers.EmployeeManagementController.AddEmployee (EmployeeManagement)' | 
2025-03-01 21:37:28.4143 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 POST https://localhost:7192/EmployeeManagement application/json 53 - 200 - text/plain;+charset=utf-8 1756.5257ms | 
2025-03-02 21:15:39.7605 | Info | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7192 | 
2025-03-02 21:15:39.8150 | Info | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5120 | 
2025-03-02 21:15:39.8969 | Info | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. | 
2025-03-02 21:15:39.8984 | Info | Microsoft.Hosting.Lifetime | Hosting environment: Development | 
2025-03-02 21:15:39.8984 | Info | Microsoft.Hosting.Lifetime | Content root path: C:\Users\dell\OneDrive\Desktop\EmployeeManagement\EmployeeManagement\EmployeeManagement\ | 
2025-03-02 21:15:44.3607 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger - - | 
2025-03-02 21:15:45.0199 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger - - - 301 0 - 664.2385ms | 
2025-03-02 21:15:45.0444 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/index.html - - | 
2025-03-02 21:15:45.3667 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/index.html - - - 200 - text/html;charset=utf-8 322.1238ms | 
2025-03-02 21:15:45.5909 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/_vs/browserLink - - | 
2025-03-02 21:15:45.5909 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/index.js - - | 
2025-03-02 21:15:45.5909 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/_framework/aspnetcore-browser-refresh.js - - | 
2025-03-02 21:15:45.5909 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/swagger-ui-standalone-preset.js - - | 
2025-03-02 21:15:45.5909 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 4.2810ms | 
2025-03-02 21:15:45.6086 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/index.css - - | 
2025-03-02 21:15:45.6086 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/swagger-ui-bundle.js - - | 
2025-03-02 21:15:45.6086 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/swagger-ui.css - - | 
2025-03-02 21:15:45.6086 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/_framework/aspnetcore-browser-refresh.js - - - 200 12368 application/javascript;+charset=utf-8 21.0594ms | 
2025-03-02 21:15:45.6757 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' | 
2025-03-02 21:15:45.9272 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/index.css - - - 200 202 text/css 335.4888ms | 
2025-03-02 21:15:46.0900 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' | 
2025-03-02 21:15:46.0900 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' | 
2025-03-02 21:15:46.1025 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/swagger-ui.css - - - 200 154948 text/css 510.7375ms | 
2025-03-02 21:15:46.1025 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/swagger-ui-standalone-preset.js - - - 200 229223 application/javascript 511.0093ms | 
2025-03-02 21:15:46.1025 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 517.9639ms | 
2025-03-02 21:15:46.1547 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' | 
2025-03-02 21:15:46.1547 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/swagger-ui-bundle.js - - - 200 1466324 application/javascript 563.8773ms | 
2025-03-02 21:15:46.9558 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/favicon-32x32.png - - | 
2025-03-02 21:15:46.9713 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' | 
2025-03-02 21:15:46.9755 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/favicon-32x32.png - - - 200 628 image/png 19.7328ms | 
2025-03-02 21:15:47.0120 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/Swagger/v1/swagger.json - - | 
2025-03-02 21:15:47.0531 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 41.0294ms | 
2025-03-02 21:15:55.0604 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7192/EmployeeManagement - - | 
2025-03-02 21:15:55.0829 | Info | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'EmployeeManagement.Controllers.EmployeeManagementController.Get (EmployeeManagement)' | 
2025-03-02 21:15:55.1404 | Info | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Get", controller = "EmployeeManagement"}. Executing controller action with signature System.String Get() on controller EmployeeManagement.Controllers.EmployeeManagementController (EmployeeManagement). | 
2025-03-02 21:15:55.9131 | Info | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing ObjectResult, writing value of type 'System.String'. | 
2025-03-02 21:15:55.9131 | Info | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action EmployeeManagement.Controllers.EmployeeManagementController.Get (EmployeeManagement) in 775.1336ms | 
2025-03-02 21:15:55.9131 | Info | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'EmployeeManagement.Controllers.EmployeeManagementController.Get (EmployeeManagement)' | 
2025-03-02 21:15:55.9332 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7192/EmployeeManagement - - - 200 - text/plain;+charset=utf-8 873.5148ms | 
